date,evaporation_m3
1951-08-13,118136.237706
1951-08-14,118136.237706
1951-08-15,118136.237706
1951-08-16,118136.237706
1951-08-17,118136.237706
1951-08-18,118136.237706
1951-08-19,118136.237706
1951-08-20,118136.237706
1951-08-21,118136.237706
1951-08-22,118136.237706
1951-08-23,118136.237706
1951-08-24,118136.237706
1951-08-25,118136.237706
1951-08-26,118136.237706
1951-08-27,118136.237706
1951-08-28,118136.237706
1951-08-29,118136.237706
1951-08-30,118136.237706
1951-08-31,118136.237706
1951-09-01,87928.613648
1951-09-02,87928.613648
1951-09-03,87928.613648
1951-09-04,87928.613648
1951-09-05,87928.613648
1951-09-06,87928.613648
1951-09-07,87928.613648
1951-09-08,87928.613648
1951-09-09,87928.613648
1951-09-10,87928.613648
1951-09-11,87928.613648
1951-09-12,87928.613648
1951-09-13,87928.613648
1951-09-14,87928.613648
1951-09-15,87928.613648
1951-09-16,87928.613648
1951-09-17,87928.613648
1951-09-18,87928.613648
1951-09-19,87928.613648
1951-09-20,87928.613648
1951-09-21,87928.613648
1951-09-22,87928.613648
1951-09-23,87928.613648
1951-09-24,87928.613648
1951-09-25,87928.613648
1951-09-26,87928.613648
1951-09-27,87928.613648
1951-09-28,87928.613648
1951-09-29,87928.613648
1951-09-30,87928.613648
1951-10-01,80441.413147
1951-10-02,80441.413147
1951-10-03,80441.413147
1951-10-04,80441.413147
1951-10-05,80441.413147
1951-10-06,80441.413147
1951-10-07,80441.413147
1951-10-08,80441.413147
1951-10-09,80441.413147
1951-10-10,80441.413147
1951-10-11,80441.413147
1951-10-12,80441.413147
1951-10-13,80441.413147
1951-10-14,80441.413147
1951-10-15,80441.413147
1951-10-16,80441.413147
1951-10-17,80441.413147
1951-10-18,80441.413147
1951-10-19,80441.413147
1951-10-20,80441.413147
1951-10-21,80441.413147
1951-10-22,80441.413147
1951-10-23,80441.413147
1951-10-24,80441.413147
1951-10-25,80441.413147
1951-10-26,80441.413147
1951-10-27,80441.413147
1951-10-28,80441.413147
1951-10-29,80441.413147
1951-10-30,80441.413147
1951-10-31,80441.413147
1951-11-01,69904.713891
1951-11-02,69904.713891
1951-11-03,69904.713891
1951-11-04,69904.713891
1951-11-05,69904.713891
1951-11-06,69904.713891
1951-11-07,69904.713891
1951-11-08,69904.713891
1951-11-09,69904.713891
1951-11-10,69904.713891
1951-11-11,69904.713891
1951-11-12,69904.713891
1951-11-13,69904.713891
1951-11-14,69904.713891
1951-11-15,69904.713891
1951-11-16,69904.713891
1951-11-17,69904.713891
1951-11-18,69904.713891
1951-11-19,69904.713891
1951-11-20,69904.713891
1951-11-21,69904.713891
1951-11-22,69904.713891
1951-11-23,69904.713891
1951-11-24,69904.713891
1951-11-25,69904.713891
1951-11-26,69904.713891
1951-11-27,69904.713891
1951-11-28,69904.713891
