# era5_prcp_-0.17_31.37  era5_prcp_-1.86_34.52  era5_prcp_-1.94_35.1  era5_prcp_-1.83_30.42
10.002 13.923 13.396 5.635
5.977 8.456 1.554 10.034
1.775 1.039 0.213 4.945
2.279 2.737 0.254 0.924
0.327 0.746 0.117 0.111
0.348 7.773 9.315 4.305
1.001 13.799 14.410 5.405
8.888 22.098 10.166 13.533
13.288 7.391 7.454 0.912
0.470 6.066 13.502 1.391
3.552 10.203 7.772 3.136
7.893 7.342 5.416 9.251
5.065 0.608 0.695 7.276
0.212 0.011 0.000 1.381
0.661 0.077 0.013 9.464
0.713 0.827 0.364 0.066
0.057 0.000 0.039 0.041
0.352 0.000 0.000 0.610
0.000 0.109 0.001 0.015
0.000 2.103 0.992 0.003
2.027 12.843 16.761 5.730
1.404 4.974 2.366 6.913
0.567 2.599 0.365 7.828
3.196 4.039 5.739 0.820
4.211 4.625 3.560 3.915
4.426 7.933 8.021 1.642
5.147 2.044 0.536 15.531
13.532 4.978 3.343 15.240
0.286 3.590 7.623 0.466
0.984 0.536 0.216 0.946
0.751 0.252 0.027 4.812
0.718 0.018 0.000 1.159
0.560 0.002 0.001 0.787
0.715 0.059 0.084 7.507
0.269 0.002 0.033 0.650
0.121 0.331 0.231 0.670
0.560 4.284 0.828 1.769
0.101 3.802 0.557 0.342
0.325 13.626 2.614 8.538
0.778 6.538 7.615 0.269
0.609 3.979 14.998 10.569
0.015 9.023 6.563 0.517
0.035 9.342 35.599 2.251
1.908 8.229 48.307 5.314
6.463 4.819 4.813 12.542
5.702 4.889 1.255 7.621
3.895 6.071 8.336 2.502
0.607 9.321 1.413 0.320
0.001 6.970 3.221 4.979
0.004 7.106 1.887 0.508
0.340 4.576 1.438 3.398
0.817 0.213 0.235 4.123
0.295 0.370 0.133 0.102
0.708 0.000 0.000 0.383
0.161 1.863 0.959 0.165
0.749 0.032 0.001 3.225
0.000 0.045 0.021 0.021
0.001 0.011 0.001 0.045
0.538 0.001 0.001 0.941
0.299 0.025 0.001 0.418
0.003 0.040 0.043 0.000
0.346 2.239 3.965 3.863
11.538 11.855 5.325 16.972
0.163 3.932 2.285 1.413
1.590 0.576 0.112 2.923
0.418 0.004 0.002 0.747
0.838 0.001 0.002 0.168
0.086 0.000 0.000 0.034
0.002 0.029 0.002 0.043
0.002 0.043 0.037 0.002
0.128 0.058 0.034 0.504
0.425 0.078 0.163 0.443
0.152 0.247 0.933 1.369
0.764 9.225 9.395 7.255
2.556 11.261 8.642 10.144
0.833 3.586 2.214 3.420
0.005 1.990 0.672 10.136
1.114 0.078 0.085 0.400
0.001 3.452 4.202 0.214
0.417 5.859 2.810 5.476
1.696 7.080 5.893 1.783
4.883 0.093 0.026 8.580
4.487 0.009 0.003 0.782
6.563 0.248 0.045 3.969
0.416 0.001 0.024 3.263
0.626 0.000 0.000 0.299
0.090 0.007 0.026 0.122
0.766 0.001 0.001 1.631
0.501 0.000 0.065 5.750
0.003 0.001 0.003 0.297
0.645 0.002 0.003 0.122
0.045 0.033 0.063 0.197
0.008 0.161 0.115 2.452
1.286 0.019 0.013 0.428
3.859 3.141 0.216 1.897
5.576 7.651 3.298 1.109
2.456 2.163 12.850 0.355
0.506 0.340 0.146 0.897
0.255 0.025 0.002 1.111
