# Cairo	Aswand	Merowe	Karthoum	Singa	Kashm	Tsengh	Ozentari	Tana	Roseires	GERD	SouthWest	Victoria
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	936.25839	0.00000	0.00000	2726.82329	0.00000	10108.15416
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	924.89642	0.00000	0.00000	2995.18889	0.00000	10490.39202
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	980.06472	0.00000	0.00000	2761.65675	2040.60679	12258.01514
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	920.51216	0.00000	0.00000	2658.14795	1430.44590	13608.99643
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	859.09774	0.00000	0.00000	2303.74054	0.00000	13298.70508
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	807.88189	0.00000	0.00000	1950.50332	0.00000	13350.43462
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	754.09846	0.00000	0.00000	1752.76180	0.00000	13550.63269
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	708.84135	0.00000	0.00000	1546.39963	0.00000	13150.68289
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	641.43963	0.00000	0.00000	1225.87978	0.00000	12343.72411
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	580.39577	0.00000	0.00000	956.94503	0.00000	11436.94820
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	568.44043	0.00000	0.00000	939.61286	0.00000	10774.93575
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	626.86503	0.00000	0.00000	823.31925	613.12190	11307.05891
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	905.50685	7.91914	0.00000	951.54287	2934.90632	11541.81954
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	905.11952	0.00000	0.00000	1107.47090	1247.64369	11578.38788
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	877.90113	0.00000	0.00000	1291.03059	0.00000	11467.37721
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	977.12408	0.00000	0.00000	1908.21638	1563.37196	11583.49176
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	6.75020	1122.50963	18.91911	0.00000	2299.68777	0.00000	11173.85723
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1492.40582	0.00000	0.00000	2384.70614	0.00000	10490.38641
