date,water_m3_day
1988-01-25,290041238.073600
1988-01-26,291477083.731200
1988-01-27,292969276.790400
1988-01-28,294512111.827200
1988-01-29,296099842.636800
1988-01-30,297726681.196800
1988-01-31,299386797.667200
1988-02-01,301074318.057600
1988-02-02,302783326.992000
1988-02-03,304507865.116800
1988-02-04,306241930.656000
1988-02-05,307979480.275200
1988-02-06,309714430.032000
1988-02-07,311440657.104000
1988-02-08,313152000.652800
1988-02-09,314842265.452800
1988-02-10,316505222.236800
1988-02-11,318134612.102400
1988-02-12,319724148.672000
1988-02-13,321267521.462400
1988-02-14,322758400.464000
1988-02-15,324190438.387200
1988-02-16,325622019.168000
1988-02-17,327110069.520000
1988-02-18,328645962.835200
1988-02-19,330220985.328000
1988-02-20,331826365.152000
1988-02-21,333453300.307200
1988-02-22,335092983.696000
1988-02-23,336736629.561600
1988-02-24,338375493.619200
1988-02-25,340000896.816000
1988-02-26,341604243.993600
1988-02-27,343177041.513600
1988-02-28,344710914.969600
1988-02-29,346197622.924800
1988-03-01,347629071.513600
1988-03-02,348997325.068800
1988-03-03,350294616.921600
1988-03-04,351513358.041600
1988-03-05,352646143.948800
1988-03-06,353685759.984000
1988-03-07,354625185.369600
1988-03-08,355457595.715200
1988-03-09,356176363.363200
1988-03-10,356775056.524800
1988-03-11,357247436.342400
1988-03-12,357587454.384000
1988-03-13,357789245.644800
1988-03-14,357847120.944000
1988-03-15,357601653.878400
1988-03-16,356968692.748800
1988-03-17,356031394.012800
1988-03-18,354813761.318400
1988-03-19,353340043.516800
1988-03-20,351634654.224000
1988-03-21,349722100.195200
1988-03-22,347626914.019200
1988-03-23,345373588.972800
1988-03-24,342986520.268800
1988-03-25,340489951.920000
1988-03-26,337907925.331200
1988-03-27,335264236.531200
1988-03-28,332582394.528000
1988-03-29,329885586.057600
1988-03-30,327196644.307200
1988-03-31,324538023.600000
1988-04-01,321931777.190400
1988-04-02,319399540.502400
1988-04-03,316962518.860800
1988-04-04,314641480.233600
1988-04-05,312456752.035200
1988-04-06,310428222.681600
1988-04-07,308575349.625600
1988-04-08,306917167.996800
1988-04-09,305472308.745600
1988-04-10,304259017.824000
1988-04-11,303295181.328000
1988-04-12,302598356.083200
1988-04-13,302185804.550400
1988-04-14,302074531.804800
1988-04-15,302117500.771200
1988-04-16,302126929.430400
1988-04-17,302074901.251200
1988-04-18,301964371.804800
1988-04-19,301798337.011200
1988-04-20,301579833.398400
1988-04-21,301311938.707200
1988-04-22,300997773.878400
1988-04-23,300640501.584000
1988-04-24,300243328.560000
1988-04-25,299809503.705600
1988-04-26,299342321.020800
1988-04-27,298845116.236800
1988-04-28,298321269.235200
1988-04-29,297774201.456000
1988-04-30,297207377.193600
1988-05-01,296624301.696000
1988-05-02,296028520.905600
